'0:00.000',0.31
'0:00.003',0.32
'0:00.006',0.333
'0:00.008',0.35
'0:00.011',0.367
'0:00.014',0.363
'0:00.017',0.347
'0:00.019',0.323
'0:00.022',0.303
'0:00.025',0.287
'0:00.028',0.28
'0:00.031',0.287
'0:00.033',0.3
'0:00.036',0.297
'0:00.039',0.297
'0:00.042',0.297
'0:00.044',0.3
'0:00.047',0.307
'0:00.050',0.317
'0:00.053',0.34
'0:00.056',0.347
'0:00.058',0.347
'0:00.061',0.34
'0:00.064',0.327
'0:00.067',0.327
'0:00.069',0.307
'0:00.072',0.293
'0:00.075',0.297
'0:00.078',0.293
'0:00.081',0.297
'0:00.083',0.31
'0:00.086',0.317
'0:00.089',0.32
'0:00.092',0.32
'0:00.094',0.313
'0:00.097',0.303
'0:00.100',0.307
'0:00.103',0.29
'0:00.106',0.283
'0:00.108',0.277
'0:00.111',0.28
'0:00.114',0.273
'0:00.117',0.267
'0:00.119',0.28
'0:00.122',0.287
'0:00.125',0.29
'0:00.128',0.287
'0:00.131',0.27
'0:00.133',0.263
'0:00.136',0.26
'0:00.139',0.25
'0:00.142',0.26
'0:00.144',0.273
'0:00.147',0.287
'0:00.150',0.28
'0:00.153',0.283
'0:00.156',0.287
'0:00.158',0.273
'0:00.161',0.273
'0:00.164',0.27
'0:00.167',0.27
'0:00.169',0.263
'0:00.172',0.263
'0:00.175',0.25
'0:00.178',0.243
'0:00.181',0.237
'0:00.183',0.22
'0:00.186',0.227
'0:00.189',0.227
'0:00.192',0.243
'0:00.194',0.243
'0:00.197',0.247
'0:00.200',0.257
'0:00.203',0.26
'0:00.206',0.257
'0:00.208',0.247
'0:00.211',0.24
'0:00.214',0.25
'0:00.217',0.257
'0:00.219',0.27
'0:00.222',0.273
'0:00.225',0.287
'0:00.228',0.287
'0:00.231',0.28
'0:00.233',0.287
'0:00.236',0.287
'0:00.239',0.263
'0:00.242',0.263
'0:00.244',0.27
'0:00.247',0.267
'0:00.250',0.26
'0:00.253',0.257
'0:00.256',0.263
'0:00.258',0.273
'0:00.261',0.277
'0:00.264',0.277
'0:00.267',0.277
'0:00.269',0.263
'0:00.272',0.263
'0:00.275',0.27
'0:00.278',0.273
'0:00.281',0.29
'0:00.283',0.29
'0:00.286',0.293
'0:00.289',0.3
'0:00.292',0.287
'0:00.294',0.29
'0:00.297',0.29
'0:00.300',0.277
'0:00.303',0.273
'0:00.306',0.277
'0:00.308',0.277
'0:00.311',0.263
'0:00.314',0.273
'0:00.317',0.267
'0:00.319',0.28
'0:00.322',0.283
'0:00.325',0.273
'0:00.328',0.27
'0:00.331',0.253
'0:00.333',0.26
'0:00.336',0.257
'0:00.339',0.25
'0:00.342',0.26
'0:00.344',0.26
'0:00.347',0.277
'0:00.350',0.28
'0:00.353',0.287
'0:00.356',0.29
'0:00.358',0.273
'0:00.361',0.273
'0:00.364',0.257
'0:00.367',0.26
'0:00.369',0.26
'0:00.372',0.267
'0:00.375',0.263
'0:00.378',0.28
'0:00.381',0.287
'0:00.383',0.297
'0:00.386',0.307
'0:00.389',0.297
'0:00.392',0.28
'0:00.394',0.273
'0:00.397',0.25
'0:00.400',0.26
'0:00.403',0.25
'0:00.406',0.253
'0:00.408',0.263
'0:00.411',0.257
'0:00.414',0.267
'0:00.417',0.27
'0:00.419',0.273
'0:00.422',0.27
'0:00.425',0.257
'0:00.428',0.257
'0:00.431',0.25
'0:00.433',0.257
'0:00.436',0.28
'0:00.439',0.273
'0:00.442',0.293
'0:00.444',0.287
'0:00.447',0.293
'0:00.450',0.303
'0:00.453',0.303
'0:00.456',0.31
'0:00.458',0.303
'0:00.461',0.297
'0:00.464',0.287
'0:00.467',0.28
'0:00.469',0.263
'0:00.472',0.273
'0:00.475',0.28
'0:00.478',0.28
'0:00.481',0.293
'0:00.483',0.287
'0:00.486',0.277
