Nombre,SD1,SD2,Position,target
data,13.31929533,46.86123192,410.6818182,0
data2,15.47164829,39.13306395,400.9130435,0
data3,11.49636126,27.84833853,393.3478261,0
data4,9.135816219,11.72366131,389.6666667,0
data5,6.780729947,8.924402797,366.36,0
data6,11.19432558,26.71063552,413.8181818,0
data7,7.323431782,30.23123282,413.0909091,0
data8,9.179737126,32.68214266,405.6818182,0
data9,10.52865385,47.41748379,386.7083333,0
data10,8.855122497,26.75811144,365.68,0
data11,10.52865385,47.41748379,386.7083333,0
data12,11.22593846,21.22364676,399.3478261,0
data13,9.86276341,22.66189393,389.125,0
data14,9.81972929,36.98024059,377.96,0
data15,10.26191104,27.7152172,399.3043478,0
data16,10.62320818,36.60242123,396.125,0
data17,33.21924079,96.7259395,408.5454545,0
data18,15.4804312,68.95232955,428.8571429,0
data19,21.14951733,22.84549554,382.96,0
data20,9.992627668,22.32399033,412.4090909,0
run,4.151371667,20.46012461,288.1818182,1
run2,118.7310039,114.4471231,240.45,1
run3,5.146335059,7.514252386,243.8717949,1
run4,82.44669665,89.71224974,304.7,1
run5,85.84177777,152.8332233,245.3421053,1
bike1_h,5.476190085,26.30826417,375.5416667,1
bike1_l,6.052678798,15.75175907,406.1818182,1
bike2_h,33.88949362,46.20315045,304.0967742,1
bike2_l,6.956634992,12.20433492,319.2758621,1
bike3_h,176.619901,162.0020662,307.9032258,1
bike3_l,83.04981413,95.94849757,269.9428571,1
bike5_l,3.899450511,11.71125396,256.6388889,1
MIT_300,3.290048177,6.998236109,329.1071429,1
MIT_301,62.39812458,105.5124093,496.8333333,1
MIT_302,12.25324346,18.41178501,490.1578947,1
MIT_303,5.813776741,17.76391849,363.9230769,1
MIT_304,6.360293494,7.247375004,561.5,1
MIT_305,128.9061351,154.4759011,469.3157895,1
MIT_306,13.62034834,33.73656568,470.6842105,1
MIT_307,11.4016686,50.00341785,530.4705882,1
MIT_308,83.71929241,115.9506815,510.5882353,1
MIT_309,10.87284461,23.97539248,371.96,1
MIT_310,5.847553125,19.3624795,327.5517241,1
MIT_311,4.9551867,8.748858959,389.25,1
MIT_312,3.580512422,9.410477853,502.8888889,1
MIT_313,7.333147159,40.66161248,380.9583333,1
MIT_314,9.693039632,14.80285673,491.5,1
MIT_315,23.16246964,20.5555084,402.3478261,1
MIT_316,6.474475619,25.97269037,290.28125,1
MIT_317,4.011701634,8.821777032,441.7619048,1
MIT_318,9.432308834,31.3841196,328.1785714,1
MIT_319,13.03441714,30.07064775,388.5,1
MIT_320,7.374277062,6.740252361,388.5,1
data21,19.06939232,34.16798571,417.8636364,0
data22,18.68167016,36.69022758,353.8461538,0
data23,11.40678727,18.3526259,328.7241379,0
data24,9.317645922,17.40895843,389.75,0
data25,22.61654846,42.37480344,401.0869565,0
data26,19.65351803,44.40585343,416.5454545,0
data27,15.27102098,41.73811561,414.5,0
data28,12.89076201,27.32202545,445,0
data29,13.20972751,42.3110408,403.3043478,0
data30,10.54369108,20.58985548,396.6086957,0
data31,20.85938038,43.73812696,424.9047619,0
data32,17.91454116,30.46792447,399.5652174,0
data33,24.75210429,34.21545748,464.4736842,0
data34,8.989767403,26.62455069,289.5151515,0
data35,67.93630955,90.07419752,389.5833333,0
data36,23.53608651,34.4264039,447.6,0
data37,12.70634673,20.38962877,415.8181818,0
data39,18.26152239,65.09165231,362.6538462,0
data40,21.263221,59.6359196,478.9444444,0
data41,20.85328674,28.03715018,468.8947368,0
data42,29.98671402,41.11693319,343.4285714,0
new1,2.108423684,3.165568496,191.5833333,1
new1_2,1.216552506,1.243864944,182.0588235,1
new1_3,33.5027683,37.78726255,149.6507937,1
new1_4,34.33667608,43.92882538,146.5076923,1
new1_5,32.6206499,16.62747023,174.1111111,1
new2,10.67220722,17.30547485,156.5166667,1
new2_2,22.79676769,27.15773665,156.6833333,1
new2_3,35.79932624,51.27415653,122.3116883,1
new2_4,48.72635369,72.85056262,148.6666667,1
new2_5,1.364590997,1.803791213,159,1
new3,1.451619785,2.681193764,183.8235294,1
new3_2,1.134778346,1.617443743,176.9245283,1
new3_3,1.305832188,0.985788688,165.5087719,1
new3_4,1.583909446,2.548727924,165.8421053,1
new3_5,5.765660287,6.684465173,192.1020408,1
new4,12.34480351,18.4760989,158.2881356,1
new4_2,6.445359583,15.65753135,156.5833333,1
new4_3,1.529113922,1.105044718,148.5555556,1
new4_5,23.75909614,27.93513167,159.2711864,1
new6,1.424122146,1.395078569,171.3888889,1
new6_2,1.352847997,1.959368846,164.2631579,1
new6_3,42.33678337,42.05092052,149.7936508,1
new6_4,11.16127112,17.92359859,155.4666667,1
new6_5,2.136918284,5.871588844,200.1304348,1
new7,45.233384,41.52066085,191.0408163,1
new7_2,1.551582227,1.397136008,173.0909091,1
new7_4,32.45472844,36.44410223,146.515625,1
new7_5,2.352254049,4.395124888,177.8113208,1
p3_1,13.58965485,26.50419038,404.5652174,0
p3_2,13.56043254,22.92624268,399.4782609,0
p3_3,12.06558044,26.36882995,418.8181818,0
p3_4,19.16960485,26.04944817,431.3809524,0
p3_5,9.562687907,28.68675653,432.4761905,0
p4_1,27.93320157,42.03598161,423.7142857,0
p4_2,17.48186782,35.62952161,401.9565217,0
p5_1,128.2277665,143.1517801,480.3,0
p7_1,71.78850047,105.4337707,349.7307692,0
p7_2,106.2455761,155.6571178,407.9545455,0
p8_1,4.559355425,10.34954906,342.2962963,0
p8_2,4.311594729,11.5213168,324.6785714,0
p9_1,58.80995758,82.12791138,478.0526316,0
p9_2,140.7410031,170.1246414,387.0434783,0
p9_3,34.79508267,69.25935155,545.1875,0
p9_4,54.21413121,77.90831216,381.4166667,0
p9_5,26.12517547,78.21030137,404.7391304,0
p9_6,165.4029545,144.8056648,462.9473684,0
p9_7,142.6488146,159.9146393,402.75,0
