Nombre,SD1,SD2,Position,target
data,13.31929533,46.86123192,410.6818182,0
data2,15.47164829,39.13306395,400.9130435,0
data3,11.49636126,27.84833853,393.3478261,0
data4,9.135816219,11.72366131,389.6666667,0
data5,6.780729947,8.924402797,366.36,0
data6,11.19432558,26.71063552,413.8181818,0
data7,7.323431782,30.23123282,413.0909091,0
data8,9.179737126,32.68214266,405.6818182,0
data9,10.52865385,47.41748379,386.7083333,0
data10,8.855122497,26.75811144,365.68,0
data11,10.52865385,47.41748379,386.7083333,0
data12,11.22593846,21.22364676,399.3478261,0
data13,9.86276341,22.66189393,389.125,0
data14,9.81972929,36.98024059,377.96,0
data15,10.26191104,27.7152172,399.3043478,0
data16,10.62320818,36.60242123,396.125,0
data17,33.21924079,96.7259395,408.5454545,0
data18,15.4804312,68.95232955,428.8571429,0
data19,21.14951733,22.84549554,382.96,0
data20,9.992627668,22.32399033,412.4090909,0
run,3.879716264,16.46211683,277.0560748,1
run2,77.89170851,90.03902385,176.922619,1
run3,22.77867469,30.14337902,243.231405,1
run4,69.04344367,78.29054552,307.1157895,1
run5,89.43844521,157.1429053,211.2661871,1
data21,19.06939232,34.16798571,417.8636364,0
data22,18.68167016,36.69022758,353.8461538,0
data23,11.40678727,18.3526259,328.7241379,0
data24,9.317645922,17.40895843,389.75,0
data25,22.61654846,42.37480344,401.0869565,0
data26,19.65351803,44.40585343,416.5454545,0
data27,15.27102098,41.73811561,414.5,0
data28,12.89076201,27.32202545,445,0
data29,13.20972751,42.3110408,403.3043478,0
data30,10.54369108,20.58985548,396.6086957,0
data31,20.85938038,43.73812696,424.9047619,0
data32,17.91454116,30.46792447,399.5652174,0
data33,24.75210429,34.21545748,464.4736842,0
data34,8.989767403,26.62455069,289.5151515,0
data35,67.93630955,90.07419752,389.5833333,0
data36,23.53608651,34.4264039,447.6,0
data37,12.70634673,20.38962877,415.8181818,0
data39,18.26152239,65.09165231,362.6538462,0
data40,21.263221,59.6359196,478.9444444,0
data41,20.85328674,28.03715018,468.8947368,0
data42,29.98671402,41.11693319,343.4285714,0
new1,2.108423684,3.165568496,191.5833333,1
new1_2,1.216552506,1.243864944,182.0588235,1
new1_3,33.5027683,37.78726255,149.6507937,1
new1_4,34.33667608,43.92882538,146.5076923,1
new1_5,32.6206499,16.62747023,174.1111111,1
new2,10.67220722,17.30547485,156.5166667,1
new2_2,22.79676769,27.15773665,156.6833333,1
new2_3,35.79932624,51.27415653,122.3116883,1
new2_4,48.72635369,72.85056262,148.6666667,1
new2_5,1.364590997,1.803791213,159,1
new3,1.451619785,2.681193764,183.8235294,1
new3_2,1.134778346,1.617443743,176.9245283,1
new3_3,1.305832188,0.985788688,165.5087719,1
new3_4,1.583909446,2.548727924,165.8421053,1
new3_5,5.765660287,6.684465173,192.1020408,1
new4,12.34480351,18.4760989,158.2881356,1
new4_2,6.445359583,15.65753135,156.5833333,1
new4_3,1.529113922,1.105044718,148.5555556,1
new4_5,23.75909614,27.93513167,159.2711864,1
new6,1.424122146,1.395078569,171.3888889,1
new6_2,1.352847997,1.959368846,164.2631579,1
new6_3,42.33678337,42.05092052,149.7936508,1
new6_4,11.16127112,17.92359859,155.4666667,1
new6_5,2.136918284,5.871588844,200.1304348,1
new7,45.233384,41.52066085,191.0408163,1
new7_2,1.551582227,1.397136008,173.0909091,1
new7_4,32.45472844,36.44410223,146.515625,1
new7_5,2.352254049,4.395124888,177.8113208,1
p3_1,13.58965485,26.50419038,404.5652174,0
p3_2,13.56043254,22.92624268,399.4782609,0
p3_3,12.06558044,26.36882995,418.8181818,0
p3_4,19.16960485,26.04944817,431.3809524,0
p3_5,9.562687907,28.68675653,432.4761905,0
p4_1,27.93320157,42.03598161,423.7142857,0
p4_2,17.48186782,35.62952161,401.9565217,0
p5_1,128.2277665,143.1517801,480.3,0
p7_1,71.78850047,105.4337707,349.7307692,0
p7_2,106.2455761,155.6571178,407.9545455,0
p8_1,4.559355425,10.34954906,342.2962963,0
p8_2,4.311594729,11.5213168,324.6785714,0
p9_1,58.80995758,82.12791138,478.0526316,0
p9_2,140.7410031,170.1246414,387.0434783,0
p9_3,34.79508267,69.25935155,545.1875,0
p9_4,54.21413121,77.90831216,381.4166667,0
p9_5,26.12517547,78.21030137,404.7391304,0
p9_6,165.4029545,144.8056648,462.9473684,0
p9_7,142.6488146,159.9146393,402.75,0
new8,47.94301886,38.82822682,208.5777778,1
new8_2,41.31786295,26.74725778,190.0204082,1
new8_3,6.153419676,3.227593405,163.3103448,1
new8_4,6.181860706,4.068431698,162.6666667,1
new8_5,41.32739847,37.80264012,181.9807692,1
new9,2.083103327,2.326391691,198.5106383,1
new9_2,15.66483074,23.91016437,185.82,1
new9_3,35.7912543,41.63297723,166.6607143,1
new9_4,35.60525076,18.8197901,168.0909091,1
new10,1.225849585,2.543744727,187.24,1
new10_2,1.29159178,1.43147749,175.7777778,1
new10_3,1.653389613,1.258809805,154.9666667,1
new10_4,1.804123364,2.421518119,155.8688525,1
new10_5,24.72697064,24.77435148,174.9056604,1
new11,1.336067562,0.864551317,164.5438596,1
new11_2,1.312651838,0.990950765,162.754386,1
new11_3,1.755028453,0.974439191,150.047619,1
new11_4,2.79920133,2.410672321,151.4516129,1
new11_5,2.493070754,2.939629601,164.7368421,1
new13,26.76658759,18.14482089,178.7115385,1
new13_2,53.94851058,48.47888781,173.962963,1
new13_3,35.49141328,21.70180164,153.7868852,1
new13_4,36.60716953,22.58975616,155.3442623,1
new13_5,33.00080388,24.69837265,180.0576923,1
