'0:00.000',-3.03
'0:00.004',-2.8
'0:00.008',-3.21
'0:00.012',-3.89
'0:00.016',-4.33
'0:00.020',-3.81
'0:00.023',-3.53
'0:00.027',-3.74
'0:00.031',-3.87
'0:00.035',-3.36
'0:00.039',-1.41
'0:00.043',0.94
'0:00.047',4
'0:00.051',7.39
'0:00.055',10.24
'0:00.059',8.7
'0:00.063',3.42
'0:00.066',-0.87
'0:00.070',-3.8
'0:00.074',-6.38
'0:00.078',-8.44
'0:00.082',-9.37
'0:00.086',-9.48
'0:00.090',-8.71
'0:00.094',-7.75
'0:00.098',-6.86
'0:00.102',-5.88
'0:00.105',-4.5
'0:00.109',-2.52
'0:00.113',-1.01
'0:00.117',-0.35
'0:00.121',-0.44
'0:00.125',-0.62
'0:00.129',-0.27
'0:00.133',0.28
'0:00.137',0.63
'0:00.141',0.76
'0:00.145',0.84
'0:00.148',1.03
'0:00.152',1.23
'0:00.156',1.57
'0:00.160',1.99
'0:00.164',1.98
'0:00.168',2.07
'0:00.172',2.42
'0:00.176',2.97
'0:00.180',3.45
'0:00.184',3.8
'0:00.188',4.1
'0:00.191',4.06
'0:00.195',3.65
'0:00.199',3.29
'0:00.203',3.01
'0:00.207',2.47
'0:00.211',1.69
'0:00.215',1.44
'0:00.219',1.52
'0:00.223',1.86
'0:00.227',1.73
'0:00.230',1.21
'0:00.234',0.83
'0:00.238',1.17
'0:00.242',1.65
'0:00.246',1.88
'0:00.250',1.9
'0:00.254',1.85
'0:00.258',1.75
'0:00.262',1.64
'0:00.266',1.46
'0:00.270',1.13
'0:00.273',0.44
'0:00.277',-0.31
'0:00.281',-0.83
'0:00.285',-1.4
'0:00.289',-1.93
'0:00.293',-2.35
'0:00.297',-2.74
'0:00.301',-3.06
'0:00.305',-3.28
'0:00.309',-3.21
'0:00.313',-3.21
'0:00.316',-3.23
'0:00.320',-3.47
'0:00.324',-3.93
'0:00.328',-4.14
'0:00.332',-3.68
'0:00.336',-2.45
'0:00.340',-0.2
'0:00.344',2.91
'0:00.348',6.35
'0:00.352',9.48
'0:00.355',8.95
'0:00.359',3.87
'0:00.363',-1.7
'0:00.367',-5.54
'0:00.371',-7.92
'0:00.375',-9.58
'0:00.379',-10.46
'0:00.383',-10.52
'0:00.387',-10.21
'0:00.391',-9.28
'0:00.395',-7.92
'0:00.398',-6.43
'0:00.402',-4.9
'0:00.406',-3.24
'0:00.410',-1.74
'0:00.414',-0.94
'0:00.418',-0.63
'0:00.422',-0.32
'0:00.426',-0.11
'0:00.430',-0.07
'0:00.434',0.06
'0:00.438',0.33
'0:00.441',0.59
'0:00.445',0.81
'0:00.449',0.94
'0:00.453',1.24
'0:00.457',1.6
'0:00.461',2.04
'0:00.465',2.6
'0:00.469',3
'0:00.473',3.2
'0:00.477',3.32
'0:00.480',3.19
'0:00.484',3
'0:00.488',2.75
'0:00.492',2.29
'0:00.496',2.02
'0:00.500',1.82
'0:00.504',1.51
'0:00.508',1.08
'0:00.512',0.68
'0:00.516',0.47
'0:00.520',0.57
'0:00.523',0.89
'0:00.527',1.1
'0:00.531',1.22
'0:00.535',1.27
'0:00.539',1.09
'0:00.543',1.03
'0:00.547',1.15
'0:00.551',1.07
'0:00.555',0.63
'0:00.559',0.11
'0:00.563',-0.37
'0:00.566',-0.74
'0:00.570',-1.05
'0:00.574',-1.42
'0:00.578',-1.73
'0:00.582',-1.95
'0:00.586',-2.26
'0:00.590',-2.66
'0:00.594',-3.01
'0:00.598',-3.22
'0:00.602',-3.27
'0:00.605',-3.46
'0:00.609',-3.34
'0:00.613',-3.14
'0:00.617',-3.2
'0:00.621',-3.24
'0:00.625',-3.44
'0:00.629',-3.11
'0:00.633',-1.45
'0:00.637',1.49
'0:00.641',5.01
'0:00.645',8.42
'0:00.648',9.93
'0:00.652',6.87
'0:00.656',1.52
'0:00.660',-2.94
'0:00.664',-6.28
'0:00.668',-8.34
'0:00.672',-9.71
'0:00.676',-10.4
'0:00.680',-10.33
'0:00.684',-9.5
'0:00.688',-7.88
'0:00.691',-5.95
'0:00.695',-4.09
'0:00.699',-2.5
'0:00.703',-1.48
'0:00.707',-0.71
'0:00.711',-0.07
'0:00.715',0.23
'0:00.719',0.3
'0:00.723',0.3
'0:00.727',0.45
'0:00.730',0.97
'0:00.734',1.43
'0:00.738',1.91
'0:00.742',2.33
'0:00.746',2.72
'0:00.750',3.15
'0:00.754',3.45
'0:00.758',3.62
'0:00.762',3.81
'0:00.766',4.24
'0:00.770',4.54
'0:00.773',4.63
'0:00.777',4.68
'0:00.781',4.57
'0:00.785',4.05
'0:00.789',3.55
'0:00.793',3.22
'0:00.797',2.9
'0:00.801',2.94
'0:00.805',2.89
'0:00.809',2.48
'0:00.813',2.3
'0:00.816',2.21
'0:00.820',1.93
'0:00.824',1.94
'0:00.828',2.15
'0:00.832',2.07
'0:00.836',1.95
'0:00.840',1.83
'0:00.844',1.88
'0:00.848',1.95
'0:00.852',1.87
'0:00.855',1.35
'0:00.859',0.94
'0:00.863',0.63
'0:00.867',0.23
'0:00.871',-0.56
'0:00.875',-1.18
'0:00.879',-1.58
'0:00.883',-1.69
'0:00.887',-1.7
'0:00.891',-1.68
'0:00.895',-1.76
'0:00.898',-1.99
'0:00.902',-2.19
'0:00.906',-2.44
'0:00.910',-2.78
'0:00.914',-2.97
'0:00.918',-2.78
'0:00.922',-2.23
'0:00.926',-1.22
'0:00.930',0.69
'0:00.934',3.72
'0:00.938',7.44
'0:00.941',10.48
'0:00.945',10.82
'0:00.949',6.63
'0:00.953',1.1
'0:00.957',-3.06
'0:00.961',-5.94
'0:00.965',-8.05
'0:00.969',-10.36
'0:00.973',-11.29
'0:00.977',-10.42
'0:00.980',-8.96
'0:00.984',-7.56
'0:00.988',-6.05
'0:00.992',-4
'0:00.996',-2.22
'0:01.000',-1
'0:01.004',-0.74
'0:01.008',-0.39
'0:01.012',0.21
'0:01.016',0.61
'0:01.020',1.16
'0:01.023',1.57
'0:01.027',1.39
'0:01.031',1.48
'0:01.035',1.82
'0:01.039',2.19
'0:01.043',2.44
'0:01.047',2.7
'0:01.051',3.08
'0:01.055',3.13
'0:01.059',3.2
'0:01.063',3.29
'0:01.066',3.33
'0:01.070',3.55
'0:01.074',3.54
'0:01.078',3.58
'0:01.082',3.68
'0:01.086',3.57
'0:01.090',3.24
'0:01.094',3.14
'0:01.098',2.89
'0:01.102',2.35
'0:01.105',2.05
'0:01.109',1.7
'0:01.113',1.45
'0:01.117',1.5
'0:01.121',1.74
'0:01.125',1.95
'0:01.129',1.98
'0:01.133',1.98
'0:01.137',2
'0:01.141',1.95
'0:01.145',1.67
'0:01.148',1.2
'0:01.152',0.7
'0:01.156',0.55
'0:01.160',0.54
'0:01.164',0.38
'0:01.168',-0.24
'0:01.172',-1.02
'0:01.176',-1.78
'0:01.180',-2.4
'0:01.184',-2.78
'0:01.188',-2.95
'0:01.191',-3.15
'0:01.195',-3.14
'0:01.199',-3.12
'0:01.203',-3.01
'0:01.207',-3.05
'0:01.211',-3.55
'0:01.215',-3.78
'0:01.219',-3.1
'0:01.223',-1.52
'0:01.227',0.95
'0:01.230',4.03
